Year,Hight
1980.709506018958, 207.7487686186678
1980.7780312972634, 224.81967433264137
1980.8628721180226, 153.5130785898976
1980.9477129387815, 167.73883335154227
1981.0260275425592,191.5669726
1981.110868363318, 134.30830966167736
1981.1891829670958, 136.08652900688293
1981.2805500048362, 151.20139344113034
1981.3653908255951, 116.52611620962153
1981.4241267784284,89.14153829
1981.5220200331503, 74.02667385920819
1981.6068608539094, 148.35624248880146
1981.7634900614646, 140.53207736989685
1981.685175457687, 133.59702192359515
1981.854857099205, 200.81371317236605
1981.9331717029827, 174.85171073236455
1982.1974834907319, 155.64694180414426
1982.354112698287, 151.02357150660976
1982.2529563350743, 179.65290296441958
1981.9984338727972, 211.1273853745584
1982.109379561482, 218.59590662442181
1982.5107419058422, 190.32221903565312
1982.7946323445358, 208.28223442222946
